"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
43,"U",19.29%,26.48%,41.43%,103.74%,66.87%,11.83%,4.99%,4.09%,1.90,3231.73,1.29,157.01,-8.52%,208505
44,"VERA",41.52%,56.56%,50.84%,,,119.04%,16.29%,12.60%,1.70,71.34,0.06,23.09,-8.34%,209
45,"TMDX",12.56%,16.22%,4.29%,33.15%,135.71%,56.23%,6.00%,5.00%,2.00,202.16,0.33,28.50,-8.33%,3321
46,"SLI",-10.24%,35.98%,37.69%,267.79%,575.88%,390.38%,6.79%,8.39%,,2251.56,0.92,10.05,-8.30%,103524
47,"VLD",4.09%,44.26%,14.51%,15.67%,,4.67%,11.12%,8.09%,,837.35,1.15,10.50,-8.22%,47946
48,"GFED",33.18%,33.46%,32.25%,25.76%,128.79%,83.45%,3.92%,1.29%,2.00,5.66,0.78,29.50,-7.90%,220
49,"CEI",-0.81%,-25.15%,159.96%,93.90%,69.92%,32.13%,9.34%,13.19%,,202055.64,0.52,1.12,-7.79%,5286737
50,"SPSM",3.95%,8.41%,7.04%,12.96%,50.58%,30.73%,1.54%,1.27%,,427.72,0.00,43.17,-7.76%,84
51,"GERN",3.70%,25.37%,34.40%,21.74%,-5.62%,5.66%,4.96%,4.70%,1.80,1806.23,0.56,1.55,-7.74%,50970
52,"SITM",-9.04%,16.12%,17.67%,203.03%,156.54%,117.94%,9.32%,5.86%,1.70,189.96,7.00,225.25,-7.66%,66469
53,"SHC",4.16%,7.13%,10.05%,13.66%,,-1.46%,3.26%,2.82%,1.70,590.49,0.02,25.00,-7.54%,664
54,"KRTX",3.38%,29.34%,36.68%,30.88%,40.85%,49.03%,6.24%,4.64%,1.50,117.59,0.14,140.02,-7.52%,810
55,"COIN",6.26%,39.33%,28.37%,26.01%,,8.87%,4.81%,4.93%,2.10,4918.24,2.73,331.05,-7.37%,672290
56,"SBEV",-7.77%,1.06%,-44.12%,-69.82%,-32.62%,-45.87%,8.36%,8.67%,,196.84,0.02,1.76,-7.37%,234
57,"MICT",0.74%,-1.44%,-24.73%,-6.80%,-14.38%,-34.13%,5.40%,6.59%,2.00,1573.07,4.49,1.27,-7.30%,353372
58,"IJR",3.97%,8.46%,6.90%,12.94%,50.60%,30.74%,1.58%,1.32%,,3310.59,0.01,111.39,-7.30%,1317
59,"KRP",3.44%,2.95%,38.16%,19.92%,147.58%,94.06%,5.36%,3.14%,1.80,322.20,5.17,14.24,-7.23%,83226
60,"BAK",10.96%,1.47%,-5.28%,7.22%,129.96%,129.19%,4.19%,4.35%,2.30,192.96,2.16,19.21,-6.97%,20798
61,"AMPL",7.72%,72.64%,,,,54.74%,8.52%,7.37%,2.30,1349.66,0.87,78.90,-6.96%,58504
62,"SRGA",-5.61%,-1.94%,6.42%,-35.67%,-50.00%,-53.88%,7.32%,6.07%,1.70,3839.71,1.88,0.94,-6.93%,360011
63,"VIG",1.23%,7.07%,3.46%,10.48%,23.15%,18.47%,0.63%,0.69%,,1163.94,0.00,155.70,-6.91%,160
64,"SKIN",-2.78%,17.60%,40.88%,139.32%,,153.49%,4.02%,5.28%,1.70,2927.42,0.47,26.70,-6.87%,69434
65,"IDBA",17.78%,33.72%,46.41%,,,1.24%,10.47%,3.64%,,1.38,1.57,26.60,-6.83%,108
66,"KPLT",26.10%,18.80%,47.44%,-46.96%,-42.21%,-54.00%,12.21%,7.62%,2.00,11266.02,0.78,5.36,-6.78%,439318
67,"CTAS",0.37%,8.59%,12.00%,27.11%,20.22%,23.62%,1.90%,1.57%,2.30,346.19,0.00,407.43,-6.75%,23
68,"NBRV",9.84%,20.72%,19.64%,-2.19%,-67.79%,-44.63%,8.03%,5.74%,2.70,747.59,0.51,1.25,-6.72%,19126
69,"UBOT",3.56%,24.47%,23.39%,50.37%,47.79%,33.92%,2.74%,2.39%,,12.62,0.47,50.70,-6.68%,295
70,"AUTO",-13.04%,11.52%,11.94%,27.66%,31.00%,21.46%,8.84%,7.77%,1.70,179.86,0.00,2.80,-6.67%,1
71,"AFRM",1.22%,16.86%,129.95%,216.72%,,62.27%,5.54%,6.39%,2.40,13298.12,0.25,147.32,-6.64%,164208
72,"WWW",8.07%,24.97%,0.81%,0.64%,28.96%,19.97%,3.13%,2.76%,1.80,495.25,0.03,35.01,-6.62%,799
73,"DCRCU",-8.10%,23.32%,28.04%,33.67%,,35.43%,6.77%,5.31%,,11.41,0.09,12.50,-6.58%,50
74,"DV",-8.62%,8.25%,3.13%,2.12%,,-4.89%,6.93%,6.09%,2.10,397.11,0.01,32.00,-6.54%,146
75,"LIDR",27.56%,53.55%,-33.94%,-35.14%,,-39.33%,9.15%,10.85%,,2300.51,0.31,6.06,-6.48%,35501
76,"NAKD",15.52%,12.92%,38.80%,49.31%,862.69%,291.09%,11.34%,6.89%,,66146.47,2.54,0.70,-6.46%,8390294
77,"BOIL",-19.73%,-23.66%,20.49%,110.06%,66.91%,150.67%,9.17%,9.60%,,1348.77,4.42,49.40,-6.46%,297899
78,"MGPI",7.60%,6.65%,12.52%,17.02%,85.31%,54.12%,7.25%,4.18%,2.70,73.21,0.44,68.00,-6.25%,1606
79,"EVGO",43.69%,89.26%,38.19%,33.94%,,38.19%,14.14%,7.93%,2.20,4907.04,6.81,13.88,-6.22%,1670921
80,"OESX",5.31%,18.44%,-8.80%,-15.56%,-42.06%,-53.80%,3.50%,3.44%,2.20,169.93,1.32,4.28,-6.14%,11190
81,"GLBE",-6.79%,-0.36%,-16.36%,125.96%,,125.96%,6.84%,7.05%,1.80,1613.19,0.11,54.10,-6.11%,8677
82,"ALTO",8.11%,5.33%,8.73%,7.50%,-1.88%,5.52%,6.35%,5.01%,1.70,1840.37,0.14,5.38,-6.11%,13181
83,"WEN",2.49%,4.97%,0.83%,2.49%,2.72%,5.11%,1.70%,2.02%,2.10,2303.56,1.38,21.64,-6.08%,159251
84,"GRUB",0.90%,0.00%,-15.59%,-20.18%,-33.76%,-36.20%,1.60%,2.09%,3.00,2431.62,2.33,13.68,-6.04%,283014
85,"ABSI",-12.00%,43.02%,-40.26%,,,-34.09%,13.01%,10.00%,2.60,275.11,0.19,13.37,-6.04%,2670
86,"SILK",-5.34%,4.55%,17.36%,18.89%,-15.84%,-8.88%,5.84%,4.68%,2.00,269.35,0.00,53.95,-5.99%,45
87,"LESL",10.40%,15.86%,-5.86%,-10.19%,7.87%,-15.50%,4.22%,3.68%,1.70,1986.66,0.00,22.05,-5.97%,231
88,"ARDS",-17.77%,-18.23%,-31.67%,-54.80%,-57.36%,-52.72%,6.03%,6.26%,2.00,36.99,0.54,2.70,-5.92%,1004
89,"FCEL",14.85%,61.40%,58.33%,41.94%,329.76%,-3.04%,10.33%,10.05%,3.30,34766.65,0.36,10.19,-5.91%,617286
90,"SNMP",4.35%,11.11%,-17.81%,47.38%,123.38%,95.34%,11.91%,10.07%,2.00,6980.94,0.83,1.13,-5.83%,290281
91,"BBI",0.10%,-33.30%,-39.38%,-54.02%,-22.48%,-48.75%,3.93%,5.40%,1.50,1970.96,4.10,0.38,-5.75%,404218
92,"NAVB",-5.41%,-13.58%,-17.65%,-13.04%,-39.13%,-34.88%,7.17%,5.88%,2.00,53.59,0.02,1.32,-5.71%,51
93,"EYE",2.55%,14.41%,16.76%,35.41%,31.59%,40.25%,3.01%,3.17%,1.80,618.62,0.12,60.00,-5.54%,3797
94,"USDP",0.00%,-11.01%,-9.44%,7.72%,108.14%,80.06%,5.91%,3.57%,1.00,79.76,0.03,5.80,-5.54%,100
95,"LCID",27.47%,95.80%,83.00%,151.57%,363.08%,347.35%,10.96%,9.70%,,45934.17,1.19,42.31,-5.52%,2727819
96,"IMNM",-16.56%,9.14%,36.14%,15.34%,67.54%,97.31%,9.36%,7.58%,1.00,149.54,0.00,18.05,-5.50%,18
97,"MDJH",-6.83%,-7.51%,-18.55%,-20.42%,11.37%,-9.05%,5.09%,5.26%,,39.68,0.01,3.61,-5.50%,25
98,"REI",7.77%,3.34%,55.21%,78.67%,593.10%,509.18%,5.98%,5.41%,2.70,2459.95,0.22,3.80,-5.47%,27349
