"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
637,"RSI",-4.82%,-2.81%,48.27%,61.75%,75.71%,-8.78%,5.65%,5.19%,1.70,1754.79,0.01,19.43,-1.60%,754
638,"GNLN",7.47%,-15.38%,-27.80%,-47.91%,-41.19%,-52.78%,7.70%,6.93%,1.60,1372.70,0.10,1.84,-1.60%,6990
639,"PICK",0.43%,-1.06%,-12.59%,-14.91%,41.40%,13.81%,1.72%,1.52%,,338.39,0.05,41.27,-1.60%,767
640,"OII",5.17%,-0.48%,13.44%,1.33%,155.40%,81.51%,5.58%,4.99%,2.20,819.79,4.13,14.20,-1.59%,169234
641,"WPRT",-14.91%,-4.27%,-36.57%,-39.03%,55.45%,-41.09%,6.50%,6.20%,2.50,1601.31,0.24,3.09,-1.59%,19208
642,"EGLX",2.61%,-11.52%,-38.95%,-57.55%,136.84%,-11.72%,7.04%,6.46%,,435.65,0.00,3.10,-1.59%,2
643,"TYME",-0.02%,0.55%,-6.08%,-16.51%,6.16%,-19.93%,3.75%,3.16%,2.00,1085.12,0.14,0.96,-1.59%,7659
644,"META",5.95%,15.18%,11.50%,,,8.40%,1.65%,1.38%,,536.89,4.72,16.13,-1.59%,126588
645,"ADT",16.38%,21.86%,11.12%,6.21%,37.84%,28.54%,7.00%,3.44%,2.60,1936.34,0.07,9.93,-1.59%,6624
646,"TSM",6.72%,10.45%,4.99%,12.54%,36.79%,11.68%,3.18%,1.96%,2.00,7895.03,0.27,119.85,-1.58%,106063
647,"ATCX",12.03%,24.33%,-17.06%,6.85%,73.55%,70.84%,3.38%,3.84%,1.70,208.95,0.01,11.82,-1.58%,120
648,"EQT",-0.29%,2.11%,6.00%,-2.64%,50.63%,59.87%,4.33%,4.48%,2.10,8759.88,0.01,20.00,-1.57%,6281
649,"AAL",12.25%,10.58%,4.85%,7.23%,68.64%,41.15%,3.24%,2.79%,3.10,29758.84,0.24,21.91,-1.57%,350551
650,"EAR",-3.61%,26.99%,-76.25%,-78.77%,-75.86%,-81.53%,5.96%,10.40%,1.50,2669.95,0.04,8.15,-1.57%,4722
651,"CDXS",19.12%,35.21%,58.18%,125.58%,158.74%,83.83%,7.13%,6.42%,1.60,661.55,0.01,39.50,-1.57%,375
652,"GRIL",-11.81%,24.51%,4.10%,-1.55%,-30.98%,-27.43%,10.29%,12.16%,,1959.61,0.24,1.25,-1.57%,23170
653,"MBIO",6.69%,10.39%,-9.25%,-11.15%,-7.61%,-32.63%,5.39%,5.34%,1.60,1037.99,0.72,2.51,-1.56%,37361
654,"ARNC",0.85%,2.47%,-12.57%,-9.19%,22.04%,7.38%,3.42%,4.21%,2.40,670.09,0.10,31.50,-1.56%,3308
655,"ENVB",1.59%,-0.52%,0.00%,-5.88%,-67.35%,-54.93%,9.64%,7.22%,2.00,3901.47,0.15,1.89,-1.56%,30036
656,"RCAT",-7.19%,-15.13%,-16.50%,-26.29%,163.27%,-14.00%,4.66%,6.40%,2.00,5073.82,0.01,2.54,-1.55%,2606
657,"NIO",-1.60%,14.03%,-7.57%,20.67%,-7.68%,-16.62%,4.91%,4.48%,2.00,37959.94,0.67,40.01,-1.55%,1263507
658,"LYFT",24.14%,6.55%,4.36%,19.98%,49.27%,14.51%,5.51%,3.95%,2.20,5083.66,0.03,55.39,-1.55%,8613
659,"TAOP",-0.61%,25.00%,-6.34%,-46.37%,18.18%,14.44%,9.40%,8.23%,,317.96,0.13,3.20,-1.54%,2010
660,"TMDI",-1.52%,10.54%,-2.69%,-1.52%,141.85%,-4.97%,3.15%,4.53%,,353.69,0.50,1.60,-1.54%,8905
661,"GHY",0.00%,0.64%,-1.01%,3.78%,15.68%,7.64%,0.74%,0.62%,,121.33,0.00,15.40,-1.53%,2
662,"BILL",15.84%,26.48%,72.30%,145.66%,251.58%,150.74%,6.02%,4.39%,1.50,1575.10,0.01,337.01,-1.53%,971
663,"DRRX",2.40%,6.67%,-3.03%,-23.35%,-28.09%,-38.16%,6.20%,6.22%,1.70,491.58,0.00,1.26,-1.53%,10
664,"ADTX",10.73%,10.11%,-8.41%,-21.60%,3.70%,-5.77%,19.50%,11.23%,2.00,6613.60,0.05,1.93,-1.53%,15423
665,"ARKQ",0.21%,12.22%,6.16%,16.63%,40.89%,14.83%,2.12%,1.74%,,293.69,0.19,86.26,-1.53%,2743
666,"CRTD",-14.40%,54.25%,4.14%,13.15%,34.02%,-21.39%,8.76%,21.93%,,4281.01,0.04,3.22,-1.53%,7697
667,"MCS",8.28%,13.75%,36.17%,14.37%,97.08%,55.27%,4.20%,3.15%,1.70,298.03,0.00,20.61,-1.53%,21
668,"KLAC",7.30%,28.26%,21.73%,45.47%,79.54%,61.10%,2.78%,3.17%,2.20,1059.79,0.07,410.74,-1.53%,3492
669,"TGI",7.14%,17.75%,14.92%,54.86%,161.09%,82.72%,5.32%,3.76%,2.60,576.78,0.01,22.60,-1.53%,150
670,"MIME",5.26%,27.75%,35.48%,71.58%,86.26%,39.80%,3.15%,3.00%,2.10,874.46,0.05,78.25,-1.52%,2234
671,"CSIQ",-2.10%,11.81%,-7.76%,7.62%,-2.70%,-25.33%,4.13%,4.20%,2.40,1055.09,0.02,37.68,-1.52%,1307
672,"IEFA",0.69%,5.03%,0.79%,5.10%,20.44%,12.23%,0.57%,0.52%,,7503.54,0.00,76.36,-1.52%,1232
673,"LIT",2.59%,17.56%,9.77%,61.63%,87.78%,53.40%,1.82%,1.61%,,945.16,0.84,93.50,-1.52%,39616
674,"CLLS",-11.10%,24.14%,-13.44%,-26.64%,-37.37%,-58.57%,7.55%,5.95%,1.80,201.58,0.32,11.04,-1.52%,3250
675,"FWBI",0.76%,-5.04%,-55.28%,-63.82%,-63.67%,-72.78%,4.50%,7.95%,,1201.61,0.09,2.60,-1.52%,5204
676,"BNGO",-13.16%,3.33%,-12.58%,11.39%,964.73%,71.43%,5.88%,4.81%,1.20,8046.12,0.41,5.20,-1.52%,166566
677,"CYBN",5.32%,-7.48%,-11.21%,17.16%,175.03%,32.89%,14.59%,9.26%,,1534.50,0.14,1.95,-1.52%,10469
678,"IDEX",-4.35%,7.03%,-18.85%,-20.80%,103.47%,-0.50%,4.89%,5.20%,2.00,8908.61,0.82,1.95,-1.52%,364492
679,"WKHS",-14.54%,9.93%,-32.24%,-13.65%,-64.98%,-66.43%,10.13%,8.11%,2.60,8848.19,0.20,6.54,-1.51%,88049
680,"TWST",-0.81%,26.48%,22.34%,40.45%,33.63%,-9.46%,5.58%,4.99%,2.30,404.92,0.00,126.00,-1.50%,71
681,"WETF",0.91%,20.58%,2.77%,6.37%,64.13%,24.86%,2.15%,3.08%,2.70,878.58,0.01,6.58,-1.50%,250
682,"JYNT",16.73%,24.31%,0.42%,99.60%,322.68%,278.90%,8.09%,5.41%,2.20,182.35,0.00,98.01,-1.50%,6
683,"EQNR",3.12%,1.32%,28.83%,26.34%,86.44%,63.28%,2.27%,2.01%,1.30,2797.25,0.26,26.41,-1.49%,35917
684,"MWA",-7.38%,0.52%,-0.64%,8.97%,33.59%,24.64%,3.02%,2.27%,2.60,1002.79,0.01,15.20,-1.49%,625
685,"SOL",-2.89%,31.48%,15.63%,22.10%,151.59%,-23.62%,6.30%,6.59%,2.00,1340.34,0.31,8.60,-1.49%,20449
686,"EDOC",-1.47%,3.66%,0.44%,2.83%,3.84%,-5.91%,1.42%,1.28%,,111.95,1.88,17.87,-1.49%,10518
687,"BHAT",-4.23%,16.40%,3.03%,-11.92%,-19.53%,-23.60%,6.97%,11.92%,,1250.02,0.46,0.67,-1.49%,28532
688,"FTI",-2.11%,-6.08%,3.49%,-8.06%,29.58%,-0.06%,3.49%,3.67%,2.40,5365.09,0.39,7.30,-1.48%,105723
689,"ACI",6.80%,24.71%,18.21%,81.21%,128.11%,92.04%,4.81%,4.34%,2.50,1625.24,0.00,33.26,-1.48%,362
690,"HWM",7.86%,5.32%,0.24%,3.80%,47.53%,15.94%,4.19%,2.85%,2.10,2495.11,0.00,32.60,-1.48%,168
691,"PK",7.60%,9.17%,9.91%,1.11%,45.05%,22.22%,4.25%,3.36%,2.50,3050.23,0.01,20.65,-1.48%,790
692,"BTTX",-11.74%,1.75%,2.22%,2.44%,,1.50%,17.58%,17.83%,,1999.30,0.17,10.00,-1.48%,16589
693,"DM",6.27%,28.80%,-1.34%,-27.37%,-15.53%,-48.78%,8.51%,6.56%,2.20,6084.70,0.12,8.68,-1.48%,36810
694,"DFEN",11.45%,1.90%,-4.51%,14.73%,76.70%,36.37%,4.33%,3.72%,,926.43,0.33,22.72,-1.47%,15070
695,"MQ",-18.54%,33.57%,-11.87%,,,-13.17%,9.72%,10.35%,2.00,3321.48,0.16,26.11,-1.47%,26794
696,"NOV",3.46%,2.89%,8.25%,-11.80%,30.45%,8.89%,4.29%,3.95%,2.30,5565.67,0.15,14.73,-1.47%,42938
697,"MCHP",5.26%,15.24%,10.21%,19.19%,31.09%,20.08%,5.11%,3.21%,2.00,3876.58,0.04,81.70,-1.47%,8713
698,"CSII",-22.33%,-9.13%,-20.80%,-18.79%,-20.75%,-34.73%,6.18%,3.49%,2.30,193.92,0.58,28.14,-1.47%,5593
699,"PHUN",-10.72%,348.40%,270.91%,200.00%,453.07%,223.81%,11.08%,37.94%,2.00,26315.21,0.23,4.02,-1.47%,303818
700,"M",6.92%,37.82%,54.52%,86.76%,297.53%,172.09%,5.21%,4.99%,3.40,18395.89,0.07,30.16,-1.47%,64071
701,"AMAT",10.68%,22.58%,15.92%,36.05%,119.20%,81.10%,3.46%,2.67%,2.00,7102.69,0.23,154.00,-1.47%,81038
702,"NOVA",2.52%,17.83%,15.70%,63.21%,30.61%,-6.12%,5.13%,5.44%,1.70,1815.84,0.02,41.75,-1.46%,2206
703,"ZBRA",1.74%,20.80%,4.60%,28.28%,68.90%,55.00%,3.65%,2.76%,2.20,228.78,0.01,587.02,-1.46%,160
704,"PBTS",3.01%,25.69%,7.87%,22.32%,-35.07%,-41.70%,7.83%,13.25%,2.00,13626.03,0.33,1.35,-1.46%,226426
705,"XSPA",-0.72%,-2.14%,-16.97%,21.24%,-22.60%,15.13%,3.06%,3.44%,,1936.14,0.24,1.35,-1.46%,23711
706,"ENSV",16.10%,-4.20%,3.79%,3.01%,-35.27%,-26.74%,8.40%,6.23%,2.00,411.91,0.00,1.35,-1.46%,6
707,"DRIV",2.72%,14.28%,8.79%,24.07%,60.26%,32.25%,1.58%,1.28%,,410.03,0.52,31.24,-1.45%,10741
708,"PEY",0.63%,1.72%,0.53%,-1.43%,27.82%,19.10%,1.17%,1.01%,,145.49,0.07,20.40,-1.45%,512
709,"NCNA",3.36%,27.65%,31.90%,-11.50%,-39.65%,-38.31%,6.02%,7.86%,1.40,1850.07,0.01,2.73,-1.44%,512
710,"SNAP",5.02%,-25.45%,-28.37%,6.32%,33.38%,9.49%,3.18%,4.35%,2.10,20127.55,0.07,54.03,-1.44%,68462
711,"OCUL",8.07%,-32.18%,-30.60%,-50.39%,-39.20%,-63.14%,6.27%,6.65%,1.90,1097.15,0.09,7.52,-1.44%,5091
712,"DKNG",-9.56%,-11.93%,-17.50%,2.23%,3.73%,-7.54%,6.46%,4.31%,2.00,13149.91,0.23,42.43,-1.44%,148762
713,"COUR",-3.41%,14.14%,-7.72%,-1.19%,,-22.67%,5.59%,4.20%,1.90,1862.42,0.01,34.30,-1.44%,1258
714,"SPCE",6.63%,-9.99%,-23.61%,29.98%,2.20%,-11.93%,5.41%,4.46%,2.60,14679.21,0.22,20.60,-1.44%,159392
715,"FOA",12.50%,17.47%,-16.96%,-43.69%,-44.83%,-46.35%,5.05%,4.35%,2.00,329.44,0.03,5.50,-1.43%,521
716,"DOGZ",-1.41%,35.16%,94.88%,175.66%,86.22%,98.58%,13.93%,10.14%,,799.20,0.09,4.13,-1.43%,3632
717,"GOVX",-1.41%,4.75%,-1.30%,-20.94%,53.48%,23.96%,6.26%,5.53%,,2594.27,0.36,4.13,-1.43%,46851
718,"XELB",-28.21%,6.87%,-41.18%,-21.79%,50.36%,15.70%,18.24%,12.01%,3.00,672.47,0.19,1.38,-1.43%,6233
719,"ALPP",-4.37%,9.38%,23.24%,-4.11%,6630.77%,-3.85%,9.30%,13.61%,,1128.55,0.03,3.45,-1.43%,1669
720,"CRWD",9.35%,19.98%,22.22%,54.90%,131.67%,38.41%,4.01%,3.77%,1.70,3491.29,0.08,289.00,-1.43%,14791
721,"SPPI",2.43%,6.03%,-10.21%,-32.59%,-43.88%,-38.12%,9.03%,6.18%,2.20,2429.25,0.01,2.08,-1.42%,1383
722,"PRLB",3.03%,-7.19%,-23.84%,-31.77%,-53.05%,-59.50%,4.27%,5.12%,2.80,451.38,0.03,61.25,-1.42%,622
723,"ZETA",11.36%,25.95%,81.32%,,,11.36%,7.31%,6.37%,1.90,571.02,0.01,9.76,-1.41%,379
724,"NM",-7.12%,-21.39%,22.47%,-39.59%,215.92%,120.44%,6.01%,6.94%,1.50,665.80,0.01,4.89,-1.41%,258
725,"GENE",-3.40%,-2.74%,-15.48%,-24.06%,-9.84%,-21.11%,3.01%,3.52%,,134.59,2.07,2.80,-1.41%,13920
726,"RMD",-0.36%,3.99%,-3.99%,36.05%,18.61%,23.09%,2.24%,2.07%,2.80,517.74,0.00,257.97,-1.41%,26
727,"UBER",6.11%,-1.69%,5.64%,3.88%,-5.54%,-10.76%,4.14%,3.36%,1.80,24505.47,0.11,44.87,-1.41%,132768
728,"G",1.63%,7.29%,-0.08%,17.64%,28.11%,23.84%,1.70%,1.71%,1.90,643.49,0.04,50.50,-1.41%,1282
729,"EPAM",6.34%,24.39%,19.51%,62.54%,125.11%,100.11%,3.53%,2.55%,2.00,275.54,0.01,707.01,-1.40%,107
730,"CSCW",-16.47%,17.66%,-26.25%,-31.87%,22.08%,-13.99%,10.27%,11.32%,,5764.40,3.03,0.60,-1.40%,872753
731,"MU",6.83%,9.20%,0.75%,-1.58%,35.08%,0.55%,2.07%,2.31%,1.90,18614.83,0.17,74.53,-1.40%,156197
732,"RRC",3.19%,4.93%,65.62%,102.50%,277.61%,262.39%,5.28%,5.19%,2.80,5143.64,0.03,23.94,-1.40%,8839
733,"BHVN",-16.40%,-10.34%,9.58%,78.29%,49.88%,42.01%,5.40%,3.79%,1.80,404.04,0.09,120.02,-1.40%,1893
734,"MSCI",-0.23%,9.31%,4.46%,41.86%,67.19%,46.20%,2.33%,2.32%,2.40,286.33,0.01,643.72,-1.39%,198
735,"UTF",1.09%,3.61%,-3.69%,1.95%,14.57%,11.15%,1.28%,1.07%,,141.09,0.02,28.30,-1.39%,152
736,"F",11.72%,33.33%,44.44%,77.58%,145.37%,128.90%,5.02%,3.77%,2.40,74456.65,0.71,19.84,-1.39%,2626778
737,"IHAK",3.49%,12.38%,13.40%,28.09%,50.14%,21.26%,1.36%,1.24%,,88.16,0.00,48.25,-1.39%,4
738,"BCOV",-2.70%,-17.63%,-13.32%,-24.36%,-19.47%,-45.16%,3.01%,3.38%,1.70,264.74,0.01,9.95,-1.39%,100
739,"IWV",1.19%,7.57%,5.39%,15.10%,33.05%,24.14%,0.67%,0.66%,,98.36,0.05,273.67,-1.39%,255
740,"MRVL",4.33%,14.97%,21.99%,75.72%,72.80%,53.43%,2.60%,2.38%,2.00,5820.19,0.06,71.93,-1.38%,16602
741,"OXBR",4.02%,27.02%,-6.94%,82.84%,106.86%,93.58%,5.62%,7.20%,1.00,215.42,0.01,3.57,-1.38%,120
742,"DLO",-3.79%,-3.96%,-3.62%,,,49.80%,5.32%,5.41%,2.60,1820.21,0.00,47.85,-1.38%,432
743,"EDIT",6.12%,10.70%,-37.01%,27.87%,33.38%,-42.15%,6.29%,4.85%,2.50,1656.67,0.05,40.00,-1.38%,3915
744,"NAOV",2.11%,-27.50%,-37.23%,73.13%,140.07%,89.77%,12.64%,9.79%,2.00,12341.83,0.04,1.43,-1.38%,25866
745,"AR",-2.91%,2.57%,47.32%,82.66%,479.20%,273.03%,5.47%,5.30%,2.30,6901.69,0.08,20.05,-1.38%,26663
746,"MTH",8.54%,17.87%,2.28%,9.80%,39.13%,40.30%,3.02%,3.25%,2.40,285.03,0.00,114.60,-1.38%,27
747,"FORM",5.09%,21.55%,17.36%,31.84%,24.22%,1.35%,3.59%,3.20%,1.90,296.33,0.02,43.00,-1.38%,300
748,"ZIM",-6.43%,15.87%,24.38%,45.64%,,362.24%,5.38%,5.59%,1.80,2705.95,0.17,50.26,-1.37%,22358
749,"HDRO",1.19%,32.88%,20.00%,25.68%,,-7.57%,2.85%,2.78%,,62.91,0.16,25.15,-1.37%,496
750,"FOR",4.90%,8.61%,1.63%,-5.70%,16.69%,5.00%,4.37%,2.96%,1.60,59.80,0.03,20.90,-1.37%,100
751,"RDS-A",1.41%,-2.29%,9.99%,16.26%,52.30%,31.02%,1.52%,1.65%,1.70,5597.28,0.17,45.41,-1.37%,48113
752,"EXPI",-11.20%,8.84%,-9.81%,83.37%,117.62%,43.63%,7.52%,5.90%,2.00,1041.93,0.03,44.71,-1.37%,1359
753,"AGRX",-11.56%,7.89%,-30.85%,-47.18%,-73.68%,-73.50%,5.23%,7.40%,1.50,1644.76,0.04,0.75,-1.37%,3521
754,"EXPR",2.57%,-3.30%,-30.43%,54.04%,379.57%,382.42%,7.26%,5.60%,3.00,4534.77,0.09,4.33,-1.37%,21267
755,"TEDU",-7.71%,-20.33%,-52.76%,-78.56%,-62.20%,-73.27%,9.77%,10.77%,5.00,626.87,0.01,0.80,-1.37%,256
756,"MAXR",20.94%,11.18%,-2.11%,5.49%,45.50%,-18.29%,5.72%,4.51%,2.00,771.03,0.02,31.10,-1.36%,643
757,"AWP",0.30%,7.49%,-0.45%,10.37%,36.36%,25.48%,1.07%,1.07%,,294.11,0.10,6.51,-1.36%,1401
758,"QCLN",-0.73%,24.44%,16.74%,44.38%,45.41%,12.89%,2.73%,2.51%,,304.77,0.39,78.20,-1.36%,5973
759,"XSD",4.13%,22.02%,21.23%,50.87%,63.97%,40.09%,2.28%,1.86%,,67.43,0.38,236.00,-1.36%,1283
760,"CYXT",5.19%,15.02%,6.38%,12.25%,13.51%,7.37%,2.69%,3.38%,,476.26,0.00,10.20,-1.35%,11
761,"CNQ",1.82%,8.41%,29.54%,29.73%,117.84%,81.25%,3.28%,2.46%,1.90,3040.86,0.01,43.00,-1.35%,823
762,"ARKX",2.86%,8.41%,1.44%,9.82%,,3.82%,1.29%,1.08%,,280.05,0.54,20.79,-1.35%,7547
763,"TENX",-3.27%,-15.43%,-9.76%,-29.52%,55.17%,-20.43%,3.20%,4.82%,2.00,119.25,0.04,1.46,-1.35%,227
764,"CWK",5.65%,5.25%,1.16%,4.90%,32.01%,29.87%,3.77%,2.50%,2.20,1292.05,0.00,19.00,-1.35%,101
765,"TSCO",2.42%,14.12%,13.72%,21.08%,70.42%,57.11%,1.90%,2.13%,2.30,750.54,0.01,217.88,-1.35%,304
766,"LSPD",-26.92%,-17.83%,-25.60%,23.44%,83.09%,1.21%,7.63%,5.27%,,1552.59,0.07,70.28,-1.35%,5511
767,"GNOG",-9.20%,-11.57%,-17.60%,43.95%,15.06%,-20.86%,6.29%,4.34%,2.00,1092.14,0.04,15.38,-1.35%,2180
768,"UTSL",-2.89%,12.47%,-6.61%,10.48%,4.52%,17.05%,4.34%,3.47%,,93.43,0.86,31.50,-1.35%,4016
769,"CKPT",12.06%,40.25%,69.58%,85.83%,85.83%,68.30%,10.12%,6.18%,1.80,705.56,0.00,4.40,-1.35%,71
770,"UAL",10.07%,7.38%,9.54%,3.53%,27.81%,22.10%,3.30%,2.85%,2.70,10961.05,0.14,52.10,-1.34%,74178
771,"PODD",1.74%,8.55%,15.73%,41.14%,24.66%,24.51%,5.30%,3.29%,2.30,310.56,0.01,314.01,-1.34%,100
772,"BBBY",28.90%,47.98%,-26.91%,-8.75%,15.83%,21.57%,16.81%,8.53%,3.00,8283.20,0.15,21.30,-1.34%,63755
773,"TIGO",1.28%,2.00%,-8.34%,-19.10%,7.34%,-7.84%,1.39%,1.20%,2.70,25.30,0.08,35.26,-1.34%,100
774,"WTTR",24.79%,24.58%,35.21%,21.14%,92.01%,81.71%,10.07%,6.19%,2.50,410.58,0.00,7.35,-1.34%,3
775,"ALV",5.28%,11.43%,4.69%,6.52%,23.03%,11.99%,2.08%,2.12%,2.60,504.90,0.10,101.76,-1.34%,2586
776,"MOXC",-4.01%,-19.52%,-32.20%,-22.34%,394.21%,333.33%,5.98%,6.67%,,828.18,0.01,5.90,-1.34%,264
777,"FOSL",18.78%,25.76%,13.67%,44.92%,125.93%,67.82%,5.66%,4.46%,4.00,414.82,0.01,14.36,-1.33%,200
778,"JG",0.67%,-3.54%,-34.50%,-46.04%,-22.28%,-57.87%,2.85%,5.53%,2.00,431.01,0.17,1.48,-1.33%,3557
779,"TK",5.63%,5.04%,32.04%,6.53%,86.57%,74.42%,5.02%,3.83%,3.00,722.68,0.01,3.70,-1.33%,181
780,"GLBS",-1.32%,-0.99%,3.45%,-30.72%,-62.96%,-47.46%,4.71%,5.62%,2.00,547.26,0.14,2.96,-1.33%,3730
781,"PED",-2.60%,-23.08%,35.14%,-0.66%,-2.60%,-0.66%,7.09%,10.72%,,5660.98,0.02,1.48,-1.33%,5282
782,"ADPT",-0.06%,9.87%,5.70%,4.89%,-28.20%,-41.62%,5.48%,4.75%,1.70,548.24,0.00,34.06,-1.33%,110
783,"MAPS",5.28%,-5.55%,-11.81%,-11.63%,25.94%,0.00%,6.16%,4.90%,1.60,711.18,0.03,12.60,-1.33%,1168
784,"GM",5.45%,0.91%,8.02%,9.04%,50.46%,40.78%,3.09%,2.46%,1.70,17373.24,1.24,57.84,-1.33%,1072865
785,"IRNT",-5.92%,-5.44%,12.90%,13.01%,13.47%,11.56%,6.81%,12.34%,,7637.53,0.05,11.14,-1.33%,19135
786,"APT",-15.00%,-13.18%,-44.29%,-38.00%,-54.17%,-52.74%,8.43%,4.71%,1.00,563.15,0.08,5.20,-1.33%,2148
787,"ALK",8.04%,0.63%,-1.04%,-9.17%,28.14%,13.13%,2.65%,2.64%,1.70,1710.72,0.03,58.05,-1.33%,2966
788,"ARW",2.27%,2.43%,0.71%,6.30%,39.93%,23.31%,2.40%,2.27%,3.00,435.36,0.01,118.39,-1.33%,186
789,"CARV",4.41%,-12.07%,-21.95%,92.50%,110.71%,133.44%,5.37%,6.93%,,243.05,0.02,14.95,-1.32%,212
790,"GRPN",17.51%,16.15%,-0.46%,-42.89%,5.16%,-31.31%,8.44%,5.51%,3.20,1184.06,0.04,25.76,-1.32%,2186
791,"DISCA",8.55%,5.88%,-9.51%,-25.48%,20.48%,-11.43%,4.55%,3.79%,2.60,5424.58,0.07,26.30,-1.31%,18524
792,"RMO",2.69%,-0.87%,-33.33%,-32.84%,-54.83%,-79.64%,7.59%,6.03%,2.40,5424.96,0.12,4.52,-1.31%,31545
793,"SURF",-9.57%,-11.88%,20.21%,-8.61%,-20.87%,-25.32%,5.29%,4.52%,1.50,865.14,0.01,6.81,-1.30%,360
794,"TXG",3.82%,7.80%,4.20%,25.31%,25.37%,18.78%,5.88%,3.99%,1.60,604.96,0.00,166.00,-1.30%,121
795,"AYRO",-2.53%,6.21%,-28.04%,-24.69%,5.48%,-49.34%,8.07%,6.65%,2.00,849.56,1.80,3.04,-1.30%,76542
796,"APDN",-3.75%,13.47%,-18.09%,-14.44%,-18.58%,5.69%,8.88%,6.41%,2.00,460.44,0.21,5.32,-1.30%,4947
797,"ASH",2.51%,7.26%,15.96%,17.90%,26.53%,25.43%,1.63%,1.54%,2.00,406.51,0.00,98.05,-1.30%,17
798,"EZGO",8.42%,9.19%,-6.65%,-32.83%,,-82.94%,5.11%,4.56%,,199.25,0.17,3.05,-1.29%,1646
799,"HIBL",7.61%,32.07%,25.86%,37.95%,283.10%,164.33%,3.46%,3.11%,,106.97,0.04,85.00,-1.29%,217
800,"RCEL",2.27%,0.77%,-6.56%,-13.90%,-26.64%,-7.97%,7.16%,3.54%,1.60,91.35,0.05,16.88,-1.29%,250
801,"CRUZ",5.62%,3.83%,7.95%,,,-3.04%,2.01%,1.30%,,16.88,0.07,23.42,-1.29%,58
802,"ALGN",6.59%,12.53%,3.38%,29.60%,49.06%,33.06%,2.43%,3.38%,1.80,597.92,0.01,701.88,-1.29%,384
803,"BROS",-9.80%,31.80%,,,,76.06%,8.23%,9.82%,,3469.55,0.03,63.75,-1.29%,5951
804,"MJ",7.17%,5.19%,-17.18%,-24.37%,6.86%,3.14%,4.05%,3.05%,,1037.18,0.39,14.61,-1.28%,20252
805,"DWEQ",1.12%,18.68%,11.66%,9.77%,21.65%,9.55%,0.52%,1.00%,,4.19,0.00,30.00,-1.28%,1
806,"VEEV",1.28%,12.63%,0.31%,29.58%,18.97%,17.57%,1.80%,2.19%,2.00,755.83,0.02,316.00,-1.28%,642
807,"CDXC",-2.03%,-3.53%,-27.57%,-9.25%,30.56%,30.83%,5.43%,5.56%,1.60,394.71,0.00,6.20,-1.27%,60
808,"WTI",5.11%,-3.14%,30.12%,19.34%,155.62%,99.08%,5.45%,5.58%,2.50,2893.00,0.02,4.26,-1.27%,3111
809,"RETL",17.37%,50.03%,12.30%,45.43%,383.95%,195.23%,6.04%,5.40%,,291.50,0.24,52.96,-1.27%,3481
810,"HMC",-3.04%,-3.52%,-11.38%,-1.68%,6.53%,3.89%,1.21%,1.05%,1.00,753.96,0.16,28.98,-1.26%,6137
811,"OTRK",-4.48%,4.44%,-65.67%,-70.68%,-83.11%,-85.16%,18.95%,9.16%,2.50,1290.50,0.10,9.05,-1.26%,6260
812,"MAC",0.28%,22.91%,25.13%,64.70%,137.92%,101.12%,5.13%,4.07%,3.20,2948.99,0.17,21.19,-1.26%,24910
813,"LUV",4.09%,-1.47%,-1.79%,-12.54%,15.99%,9.23%,2.70%,2.32%,2.00,7097.51,0.07,50.27,-1.26%,25633
814,"OLN",4.94%,23.99%,28.32%,40.35%,202.40%,151.67%,3.39%,3.69%,1.80,1344.38,0.01,61.03,-1.26%,525
815,"WOOF",2.45%,16.87%,25.49%,8.83%,,-13.27%,3.00%,2.95%,1.90,1659.13,0.01,25.18,-1.25%,460
816,"COP",3.72%,2.41%,32.45%,36.02%,126.93%,89.42%,2.22%,2.14%,1.80,8764.82,0.04,74.80,-1.25%,18406
817,"DPZ",2.39%,3.96%,-3.27%,17.17%,32.38%,30.00%,2.83%,2.75%,2.40,438.85,0.51,492.25,-1.25%,11179
818,"TOL",6.46%,13.66%,5.57%,7.56%,55.20%,47.02%,2.73%,2.58%,2.60,1068.18,0.00,63.11,-1.25%,95
819,"SHOP",5.30%,14.58%,4.69%,43.45%,72.26%,37.36%,2.99%,3.71%,2.10,899.26,0.12,1535.40,-1.25%,5420
820,"XELA",-22.33%,-3.03%,-48.72%,8.11%,23.86%,28.42%,6.68%,10.32%,2.00,22004.45,0.38,1.58,-1.25%,423251
821,"DISH",-14.02%,-14.75%,-15.42%,-17.09%,31.43%,13.98%,5.89%,3.16%,2.40,1948.35,0.00,36.40,-1.25%,129
822,"FTCH",-1.36%,8.70%,-15.48%,-0.67%,-12.20%,-39.68%,4.35%,4.53%,2.10,3912.67,0.38,38.01,-1.25%,74889
823,"QLD",3.15%,21.36%,15.77%,53.91%,81.64%,53.82%,2.25%,2.10%,,2612.06,0.77,87.43,-1.24%,101040
824,"XONE",6.17%,21.43%,58.39%,42.63%,162.92%,188.41%,5.50%,4.15%,3.00,629.08,0.00,27.03,-1.24%,62
825,"NXE",15.00%,30.36%,57.46%,49.77%,276.61%,133.33%,6.73%,6.79%,,2651.85,0.09,6.36,-1.24%,11571
